,target,log2FoldChange
508,ENSMUSG00000030788,0.6051808445812261
509,ENSMUSG00000030793,-0.200734155216245
511,ENSMUSG00000030824,-0.30870642077292
514,ENSMUSG00000030930,0.511299752116072
516,ENSMUSG00000031024,1.57675982294696
517,ENSMUSG00000031065,-0.258504910976347
518,ENSMUSG00000031075,3.648971546671
519,ENSMUSG00000031129,0.22529920453305602
521,ENSMUSG00000031246,0.21216565541598498
522,ENSMUSG00000031266,-0.325121017195604
523,ENSMUSG00000031274,0.407675624118293
525,ENSMUSG00000031355,-0.7371710836591471
527,ENSMUSG00000031402,0.338512516932665
528,ENSMUSG00000031441,-0.303904695449008
530,ENSMUSG00000031480,0.6649206465874999
531,ENSMUSG00000031482,-0.5340204285753549
532,ENSMUSG00000031486,-0.450998771140573
533,ENSMUSG00000031533,-0.39223225866161293
534,ENSMUSG00000031563,0.269417198761842
535,ENSMUSG00000031565,1.8026626969624497
536,ENSMUSG00000031586,-0.5072664261974529
537,ENSMUSG00000031613,-0.27818561825036303
538,ENSMUSG00000031631,0.429725455061749
540,ENSMUSG00000031644,0.263789671095689
541,ENSMUSG00000031712,-0.698516052857319
542,ENSMUSG00000031722,-0.929399882424307
543,ENSMUSG00000031785,-0.24034808780282002
544,ENSMUSG00000031807,0.268620216393965
546,ENSMUSG00000031939,-0.22273529915754103
547,ENSMUSG00000032076,1.02785780568351
548,ENSMUSG00000032126,-0.249944225623216
551,ENSMUSG00000032193,-0.222615366229788
553,ENSMUSG00000032220,0.9107153587343109
554,ENSMUSG00000032265,-0.41321468191943495
557,ENSMUSG00000032353,-0.21224017202992604
558,ENSMUSG00000032374,0.25979474786204504
559,ENSMUSG00000032377,0.625146513299896
561,ENSMUSG00000032462,-0.524999644126222
562,ENSMUSG00000032497,-0.301249718062802
563,ENSMUSG00000032501,-0.649175331624535
564,ENSMUSG00000032577,-0.341797701309473
565,ENSMUSG00000032601,-0.21005194206932198
566,ENSMUSG00000032648,1.36368502267779
567,ENSMUSG00000032712,0.235997636120845
571,ENSMUSG00000032802,-0.6115200775135191
572,ENSMUSG00000032849,-0.28367580220041805
574,ENSMUSG00000032864,0.332944521939107
575,ENSMUSG00000032867,-0.285527893178437
576,ENSMUSG00000032875,0.572581495529698
577,ENSMUSG00000032902,-0.24413021542213298
578,ENSMUSG00000033068,-0.289917704824758
579,ENSMUSG00000033105,-0.367996877359255
580,ENSMUSG00000033107,-0.70897876506975
582,ENSMUSG00000033213,3.65596632170618
583,ENSMUSG00000033306,0.327217140141495
585,ENSMUSG00000033386,-0.39502026994661293
586,ENSMUSG00000033705,-0.482650084856409
589,ENSMUSG00000033953,-0.284601887116445
593,ENSMUSG00000034192,0.258224481661743
596,ENSMUSG00000034361,-0.452559215748817
597,ENSMUSG00000034403,-0.40435716230200996
599,ENSMUSG00000034488,3.9190023420402
601,ENSMUSG00000034570,-2.0844963845269
