,ko,target,log2FoldChange
20801,Ikzf1_Plate15,ENSMUSG00000021375,0.213687904253059
20802,Ikzf1_Plate15,ENSMUSG00000021391,-0.29047915550950504
20803,Ikzf1_Plate15,ENSMUSG00000021428,-0.251012823383371
20811,Ikzf1_Plate15,ENSMUSG00000021592,-0.49502249393641296
20813,Ikzf1_Plate15,ENSMUSG00000021614,1.3555465837990002
20815,Ikzf1_Plate15,ENSMUSG00000021690,0.290614891293567
20819,Ikzf1_Plate15,ENSMUSG00000021720,1.0469107900147199
20820,Ikzf1_Plate15,ENSMUSG00000021725,-0.232884343480922
20824,Ikzf1_Plate15,ENSMUSG00000021756,0.5772540608975961
20826,Ikzf1_Plate15,ENSMUSG00000021779,0.5218309627882279
20827,Ikzf1_Plate15,ENSMUSG00000021785,-0.279842631574036
20828,Ikzf1_Plate15,ENSMUSG00000021796,1.00695280567769
20829,Ikzf1_Plate15,ENSMUSG00000021806,0.55063596587567
20833,Ikzf1_Plate15,ENSMUSG00000021831,-0.22501145882638604
20836,Ikzf1_Plate15,ENSMUSG00000021876,0.28001327503957896
20837,Ikzf1_Plate15,ENSMUSG00000021890,-0.309991647482803
20839,Ikzf1_Plate15,ENSMUSG00000021947,0.236773013555489
20841,Ikzf1_Plate15,ENSMUSG00000021987,-0.315620183906806
20845,Ikzf1_Plate15,ENSMUSG00000022037,1.40503525919097
20846,Ikzf1_Plate15,ENSMUSG00000022090,0.46513615936215996
20847,Ikzf1_Plate15,ENSMUSG00000022091,2.73761611729223
20849,Ikzf1_Plate15,ENSMUSG00000022108,-0.22511220989428798
20850,Ikzf1_Plate15,ENSMUSG00000022125,-0.20688725291289498
20852,Ikzf1_Plate15,ENSMUSG00000022141,0.312966455003027
20853,Ikzf1_Plate15,ENSMUSG00000022150,1.10175321099585
20854,Ikzf1_Plate15,ENSMUSG00000022157,0.418560641301055
20856,Ikzf1_Plate15,ENSMUSG00000022178,1.30287403440355
20857,Ikzf1_Plate15,ENSMUSG00000022184,-0.454994877870679
20858,Ikzf1_Plate15,ENSMUSG00000022214,-0.278586340567688
20861,Ikzf1_Plate15,ENSMUSG00000022246,0.787629298654163
20870,Ikzf1_Plate15,ENSMUSG00000022329,0.394103950479302
20874,Ikzf1_Plate15,ENSMUSG00000022376,1.47062429037156
20880,Ikzf1_Plate15,ENSMUSG00000022414,-0.31057204895276
20882,Ikzf1_Plate15,ENSMUSG00000022437,-0.20406312484920103
20884,Ikzf1_Plate15,ENSMUSG00000022440,2.41621745637146
20886,Ikzf1_Plate15,ENSMUSG00000022453,0.31405332784407897
20888,Ikzf1_Plate15,ENSMUSG00000022466,-0.35766536337295
20890,Ikzf1_Plate15,ENSMUSG00000022476,-0.281664033161051
20891,Ikzf1_Plate15,ENSMUSG00000022479,1.24876050038099
20892,Ikzf1_Plate15,ENSMUSG00000022500,0.291628438494975
20895,Ikzf1_Plate15,ENSMUSG00000022529,0.3878204772088979
20896,Ikzf1_Plate15,ENSMUSG00000022540,0.419422443873178
20900,Ikzf1_Plate15,ENSMUSG00000022558,0.36112478790602504
20901,Ikzf1_Plate15,ENSMUSG00000022565,0.472431582597391
20902,Ikzf1_Plate15,ENSMUSG00000022570,0.201656270390242
20904,Ikzf1_Plate15,ENSMUSG00000022584,5.74491450606525
20906,Ikzf1_Plate15,ENSMUSG00000022623,2.92273666065786
20911,Ikzf1_Plate15,ENSMUSG00000022723,0.477681882543575
20915,Ikzf1_Plate15,ENSMUSG00000022791,0.220618889796301
20917,Ikzf1_Plate15,ENSMUSG00000022799,0.673117752004755
20918,Ikzf1_Plate15,ENSMUSG00000022808,-0.254296083652439
20928,Ikzf1_Plate15,ENSMUSG00000022952,0.35488250585278996
20929,Ikzf1_Plate15,ENSMUSG00000022962,-0.23008995009507702
20931,Ikzf1_Plate15,ENSMUSG00000022973,0.38048719717051
20932,Ikzf1_Plate15,ENSMUSG00000022994,1.4070584251870502
20933,Ikzf1_Plate15,ENSMUSG00000023018,-0.20965352737593698
20934,Ikzf1_Plate15,ENSMUSG00000023022,1.03347264969054
20935,Ikzf1_Plate15,ENSMUSG00000023031,-0.49626879620171294
20936,Ikzf1_Plate15,ENSMUSG00000023067,-0.43524959796619
20937,Ikzf1_Plate15,ENSMUSG00000023079,0.543839837600978
20938,Ikzf1_Plate15,ENSMUSG00000023088,0.20452563297385198
20939,Ikzf1_Plate15,ENSMUSG00000023104,-0.20707873491743103
20943,Ikzf1_Plate15,ENSMUSG00000023191,1.8444497790513403
20944,Ikzf1_Plate15,ENSMUSG00000023348,0.7818455060477959
20945,Ikzf1_Plate15,ENSMUSG00000023367,1.1766266719418799
20946,Ikzf1_Plate15,ENSMUSG00000023456,0.267592925868474
20949,Ikzf1_Plate15,ENSMUSG00000023927,-0.377574699026311
20950,Ikzf1_Plate15,ENSMUSG00000023939,0.223186429316784
20953,Ikzf1_Plate15,ENSMUSG00000023947,0.6207545457300401
20955,Ikzf1_Plate15,ENSMUSG00000023972,0.8808931877617789
20956,Ikzf1_Plate15,ENSMUSG00000023982,0.234192561006273
20959,Ikzf1_Plate15,ENSMUSG00000024030,0.5564998796537671
20960,Ikzf1_Plate15,ENSMUSG00000024034,-0.5246794528026141
20965,Ikzf1_Plate15,ENSMUSG00000024052,0.342115458255549
20966,Ikzf1_Plate15,ENSMUSG00000024064,-0.25003416482335394
20968,Ikzf1_Plate15,ENSMUSG00000024074,1.30718533242717
20972,Ikzf1_Plate15,ENSMUSG00000024121,0.300486295827128
20984,Ikzf1_Plate15,ENSMUSG00000024294,0.33634078804584006
20985,Ikzf1_Plate15,ENSMUSG00000024299,-0.3841734080007321
20986,Ikzf1_Plate15,ENSMUSG00000024330,0.4598759047250321
20989,Ikzf1_Plate15,ENSMUSG00000024353,-0.576592495229973
20991,Ikzf1_Plate15,ENSMUSG00000024360,-0.20403150708318804
20992,Ikzf1_Plate15,ENSMUSG00000024378,0.266654381026274
20993,Ikzf1_Plate15,ENSMUSG00000024381,-0.28335850653746697
20996,Ikzf1_Plate15,ENSMUSG00000024431,0.304645218382602
20997,Ikzf1_Plate15,ENSMUSG00000024442,0.288161436567497
21002,Ikzf1_Plate15,ENSMUSG00000024535,0.824207692813252
21004,Ikzf1_Plate15,ENSMUSG00000024538,1.6818650535969197
21007,Ikzf1_Plate15,ENSMUSG00000024601,0.318606666561611
21010,Ikzf1_Plate15,ENSMUSG00000024621,2.5573041792155804
21011,Ikzf1_Plate15,ENSMUSG00000024639,0.24691333705674698
21012,Ikzf1_Plate15,ENSMUSG00000024640,-0.26614510335860303
21015,Ikzf1_Plate15,ENSMUSG00000024659,0.574013708346185
21017,Ikzf1_Plate15,ENSMUSG00000024663,1.6454912080086699
